"PREFERRED_NAME","CAS","QSAR_READY_SMILES","DTXSID","Structural Alert for genotoxic carcinogenicity","Structural Alert for S. typhimurium  mutagenicity","FG52_2","FG81_2","Cramer rules, with extensions","TTC_Class","Exposure.Total.Upper95","TTC_ug.kg.d","oed.AC50p5","NOAEL","TTC_MoE","OED_MoE","NOAEL_MoE"
"N,N'-Methylenebisacrylamide","110-26-9","C=CC(=O)NCNC(=O)C=C","DTXSID8025595","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.200795497,1.5,0.269946372370156,0.5,0.0074702870453315,1.34438459230067,2.49009568177717
"Octabenzone","1843-05-6","CCCCCCCCOC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1","DTXSID9027441","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.190074824,1.5,144.388971067409,523.9,0.00789162903552129,759.642797656407,2756.2829678064
"Chloroform","67-66-3","ClC(Cl)Cl","DTXSID1020306","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.151806305,1.5,25.8822902048307,6.9,0.00988101251789245,170.495489003772,45.4526575823053
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate","6846-50-0","CC(C)C(OC(=O)C(C)C)C(C)(C)COC(=O)C(C)C","DTXSID1027635","NO","NO","NO","NO","Low (Class I)","Cramer Class I",2.888981271,30,0.0482489117083108,150,0.0103842833116103,0.0167010122885323,51.9214165580515
"2,6-Diethylaniline","579-66-8","CCC1=CC=CC(CC)=C1N","DTXSID6027218","NO","NO","NO","NO","Low (Class I)","Cramer Class I",2.753181927,30,0.284642999902522,NA,0.0108964829769493,0.103386920098187,NA
"Tributyl phosphate","126-73-8","CCCCOP(=O)(OCCCC)OCCCC","DTXSID3021986","YES","YES","NO","YES","High (Class III)","Anti-cholinesterase",0.023803326,0.3,0.00060011866653789,8,0.0126032807348015,0.0252115467619059,336.087486261374
"2-Methoxyphenol","90-05-1","COC1=C(O)C=CC=C1","DTXSID0023113","NO","NO","NO","NO","Low (Class I)","Cramer Class I",2.182838193,30,65.2047880511937,42.12,0.0137435748083413,29.8715627481206,19.2959790309112
"1,2,3-Benzotriazole","95-14-7","N1N=NC2=C1C=CC=C2","DTXSID6020147","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.108077568,1.5,0.291162450012899,150,0.0138789207395933,2.69401371071654,1387.89207395933
"Propofol","2078-54-8","CC(C)C1=CC=CC(C(C)C)=C1O","DTXSID6023523","NO","NO","NO","NO","Low (Class I)","Cramer Class I",2.128963833,30,0.162332940355448,NA,0.0140913619738321,0.0762497407608369,NA
"Dodecyltrimethylammonium chloride","112-00-5","CCCCCCCCCCCC[N+](C)(C)C","DTXSID1026900","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.106412132,1.5,0.193712300473489,NA,0.0140961370833168,1.82039676146597,NA
"Methyl dodecanoate","111-82-0","CCCCCCCCCCCC(=O)OC","DTXSID5026889","NO","NO","NO","NO","Low (Class I)","Cramer Class I",2.102331861,30,2.16703454688034,1000,0.0142698688806106,1.03077662812453,475.662296020352
"Difenzoquat metilsulfate","43222-48-6","CN1C(=CC(C2=CC=CC=C2)=[N+]1C)C1=CC=CC=C1","DTXSID6024048","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.102277017,1.5,0.181391619793576,20,0.014666051513802,1.77353256004305,195.54735351736
"2,4,6-Trimethylphenol","527-60-6","CC1=CC(C)=C(O)C(C)=C1","DTXSID7022049","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.981850136,30,0.16591054339085,10,0.0151373706089349,0.0837149794412356,5.04579020297829
"2-Phenoxyethanol","122-99-6","OCCOC1=CC=CC=C1","DTXSID9021976","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.941364744,30,0.00246831392388683,300,0.0154530466738506,0.00127143234238462,154.530466738506
"2,6-Di-tert-butyl-4-[(dimethylamino)methyl]phenol","88-27-7","CN(C)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C","DTXSID0044997","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",0.562839428,9,0.000223455154515696,25,0.0159903509815947,0.00039701403881694,44.4176416155408
"4-Methyl-2-tert-butylphenol","2409-55-4","CC1=CC(=C(O)C=C1)C(C)(C)C","DTXSID2020212","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.583708814,30,0.46658971582991,2400,0.0189428761997153,0.294618374100878,1515.43009597723
"p-Cresol","106-44-5","CC1=CC=C(O)C=C1","DTXSID7021869","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.521745209,30,2.77306120931648,5,0.0197142069661676,1.82229008701054,3.28570116102794
"3,3',5,5'-Tetrabromobisphenol A","79-94-7","CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1","DTXSID1026081","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.075497499,1.5,1.48805785504753,100,0.0198682078197054,19.7100284745529,1324.54718798036
"2-Butoxyethanol","111-76-2","CCCCOCCO","DTXSID1024097","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.492710622,30,0.965041509517712,36,0.0200976663245048,0.646502741586113,24.1171995894058
"Diethylenetriamine","111-40-0","NCCNCCN","DTXSID2025050","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.072531235,1.5,0.561352154086991,30,0.0206807453368194,7.73945396196536,413.614906736387
"Ammonium perfluorooctanoate","335-67-1","OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F","DTXSID8037708","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.068754333,1.5,0.00244553762397682,0.3,0.0218168068040163,0.0355692145828369,4.36336136080325
"Phenol","108-95-2","OC1=CC=CC=C1","DTXSID5021124","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.352047747,30,0.565367873326416,60,0.0221885655048542,0.418156736388109,44.3771310097083
"4-Chloro-3-methylphenol","59-50-7","CC1=C(Cl)C=CC(O)=C1","DTXSID4021717","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.066866264,1.5,0.0455830266587206,30,0.0224328369833852,0.681704404162921,448.656739667705
"Diphenylamine","122-39-4","N(C1=CC=CC=C1)C1=CC=CC=C1","DTXSID4021975","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.066583415,1.5,0.0697813359218136,2,0.0225281325687485,1.04802879098066,30.0375100916647
"Vinylpyrrolidone","88-12-0","C=CN1CCCC1=O","DTXSID2021440","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.064405754,1.5,0.00328480434783284,1,0.0232898445688564,0.051001721800087,15.5265630459043
"4-Methylbenzophenone","134-84-9","CC1=CC=C(C=C1)C(=O)C1=CC=CC=C1","DTXSID9037741","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.064157916,1.5,0.114678897937609,NA,0.0233798117756817,1.78744736561594,NA
"2-Methoxy-5-methylaniline","120-71-8","COC1=CC=C(C)C=C1N","DTXSID1020350","YES","YES","NO","NO","Low (Class I)","Cramer Class I",1.26192983,30,0.812654089293202,250,0.0237731126460494,0.643977240234667,198.109272050412
"Dinoseb","88-85-7","CCC(C)C1=CC(=CC(=C1O)[N+]([O-])=O)[N+]([O-])=O","DTXSID3020207","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.061469977,1.5,0.000215331790357391,1,0.0244021565194339,0.00350304003460731,16.2681043462892
"Safrole","94-59-7","C=CCC1=CC=C2OCOC2=C1","DTXSID0021254","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.060800166,1.5,0.00208677595988707,NA,0.0246709852732968,0.0343218793166957,NA
"Benzene","71-43-2","C1=CC=CC=C1","DTXSID3039242","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.057298485,1.5,2.18730450822449,4,0.0261787026306193,38.1738628556146,69.8098736816514
"Dimethyl glutarate","1119-40-0","COC(=O)CCCC(=O)OC","DTXSID3025122","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.064604024,30,8.1077743251811,20,0.0281794914575675,7.6157652445442,18.7863276383783
"2,6-Dimethylphenol","576-26-1","CC1=CC=CC(C)=C1O","DTXSID9024063","NO","NO","NO","NO","Low (Class I)","Cramer Class I",1.034646933,30,1.90714421591974,0.06,0.0289953983751866,1.84328020998419,0.0579907967503732
"Pebulate","1114-71-2","CCCCN(CC)C(=O)SCCC","DTXSID8021199","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.049559655,1.5,0.170455337596056,NA,0.0302665545189933,3.4393971789363,NA
"Chloroneb","2675-77-6","COC1=CC(Cl)=C(OC)C=C1Cl","DTXSID2024793","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.047598042,1.5,0.0177758281866407,12.5,0.0315139013491353,0.373457130581982,262.615844576128
"2,6,10-Trimethyl-2,6,10-triazaundecane","3855-32-1","CN(C)CCCN(C)CCCN(C)C","DTXSID1044564","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.046883462,1.5,0.0193494427337494,25,0.0319942243173083,0.412713607492327,533.237071955139
"2-Tert-Butyl-5-methylphenol","88-60-8","CC1=CC(O)=C(C=C1)C(C)(C)C","DTXSID2026529","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.932971677,30,1.17313212660744,12.5,0.0321553169721786,1.25741451271027,13.3980487384077
"C.I. Disperse Black 6 dihydrochloride","119-90-4","COC1=CC(=CC=C1N)C1=CC(OC)=C(N)C=C1","DTXSID1020485","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.046378231,1.5,0.859464248524471,6,0.0323427601195052,18.5316306808785,129.371040478021
"N-Nitrosodibutylamine","924-16-3","CCCCN(CCCC)N=O","DTXSID2021026","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.045572482,1.5,0.743967464511331,NA,0.0329145996480947,16.3249274970657,NA
"Methyl tert-butyl ether","1634-04-4","COC(C)(C)C","DTXSID3020833","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.038536445,1.5,2.46569439029428,40,0.0389241924105869,63.9834419156795,1037.97846428232
"Fenuron","101-42-8","CN(C)C(=O)NC1=CC=CC=C1","DTXSID7037551","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.753581926,30,7.21076938306872,NA,0.0398098719793341,9.56866020041558,NA
"Ethylbenzene","100-41-4","CCC1=CC=CC=C1","DTXSID3020596","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.72210641,30,0.884237065461554,12,0.0415451235227229,1.22452460359901,16.6180494090892
"tert-Amyl methyl ether","994-05-8","CCC(C)(C)OC","DTXSID8024521","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.032115087,1.5,6.27828776154944,125,0.046707019663375,195.493406620678,3892.25163861459
"Sulisobenzone","4065-45-6","COC1=C(C=C(C(=O)C2=CC=CC=C2)C(O)=C1)S(O)(=O)=O","DTXSID2042436","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.626450785,30,0.0038563612748785,5,0.0478888377480443,0.00615588864634993,7.98147295800739
"Triethylene glycol dimethyl ether","112-49-2","COCCOCCOCCOC","DTXSID8026224","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.029798446,1.5,1.32998878861955,175,0.0503381954884493,44.632823759318,5872.78947365242
"2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic acid","5809-23-4","CCN(CC)C1=CC(O)=C(C=C1)C(=O)C1=C(C=CC=C1)C(O)=O","DTXSID4027604","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.028709282,1.5,0.00292994200389358,NA,0.0522479106234701,0.102055565300922,NA
"3-tert-Butylphenol","585-34-2","CC(C)(C)C1=CC=CC(O)=C1","DTXSID9044825","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.567024219,30,0.86034080791497,NA,0.0529077929914666,1.51729111224254,NA
"3-Iodo-2-propynyl-N-butylcarbamate","55406-53-6","CCCCNC(=O)OCC#CI","DTXSID0028038","YES","YES","YES","NO","High (Class III)","Anti-cholinesterase",0.005654435,0.3,26.566312427113,10,0.0530556987568165,4698.31423070793,1768.52329189389
"Octane","111-65-9","CCCCCCCC","DTXSID0026882","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.521060181,30,5.75279297358344e-06,NA,0.0575749233849055,1.1040553823443e-05,NA
"4-(Butan-2-yl)phenol","99-71-8","CCC(C)C1=CC=C(O)C=C1","DTXSID7022332","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.51428007,30,0.0779440598143513,NA,0.058333973548693,0.151559557449604,NA
"1,1-Dichloroethylene","75-35-4","ClC(Cl)=C","DTXSID8021438","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.024404381,1.5,68.6970283824659,2.6,0.061464373958102,2814.94656154016,106.538248194044
"Di(2-ethylhexyl) phthalate","117-81-7","CCCCC(CC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CC)CCCC","DTXSID5020607","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.454648243,30,0.000861898599455045,1.1,0.0659850784906695,0.00189574822453464,2.41945287799122
"Isopropanol","67-63-0","CC(C)O","DTXSID7020762","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.436678286,30,3.20405402695852,6.4,0.0687004620147291,7.33733306574011,14.6560985631422
"3-Chloro-4-methylaniline","95-74-9","CC1=C(Cl)C=C(N)C=C1","DTXSID0020286","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.021546144,1.5,0.329261360104693,50000,0.0696180253877446,15.2816838179812,2320600.84625815
"Nootkatone","4674-50-4","CC1CC(=O)C=C2CCC(CC12C)C(C)=C","DTXSID8047050","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.021502215,1.5,0.758210985784178,NA,0.0697602549318756,35.261994440302,NA
"1,3-Dinitrobenzene","99-65-0","[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O","DTXSID9024065","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.021441703,1.5,0.0556068474718766,0.4,0.069957129804475,2.59339696440514,18.6552346145267
"Bisphenol A","80-05-7","CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DTXSID7020182","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.020435666,1.5,0.0283532767050942,0.025,0.0734010822059824,1.38744079615972,1.22335137009971
"Tamoxifen citrate","10540-29-1","CCC(=C(C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1","DTXSID8021301","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.020311844,1.5,0.000893129711133743,0.01,0.0738485388131181,0.0439708827585395,0.492323592087454
"Bis(1-methylethyl) methylphosphonate","1445-75-6","CC(C)OP(C)(=O)OC(C)C","DTXSID5024051","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.019904605,1.5,0.209310114738369,60,0.0753594457162049,10.5156628196525,3014.37782864819
"Methyleugenol","93-15-2","COC1=CC=C(CC=C)C=C1OC","DTXSID5025607","YES","YES","NO","NO","Low (Class I)","Cramer Class I",0.394754885,30,0.00814727288440279,37,0.0759965263001115,0.0206388146011234,93.7290491034709
"EPTC","759-94-4","CCCN(CCC)C(=O)SCC","DTXSID1024091","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.019389095,1.5,0.002457671640187,2.5,0.0773630744498389,0.126755356048697,128.938457416398
"Molinate","2212-67-1","CCSC(=O)N1CCCCCC1","DTXSID6024206","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.019138642,1.5,0.00307681739699912,0.4,0.0783754667650923,0.160764666427175,20.9001244706913
"Styrene","100-42-5","C=CC1=CC=CC=C1","DTXSID2021284","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.370548071,30,10,12,0.0809611555095641,26.9870518365214,32.3844622038256
"Diallyl phthalate","131-17-9","C=CCOC(=O)C1=C(C=CC=C1)C(=O)OCC=C","DTXSID7020392","NO","NO","NO","NO","Intermediate (Class II)","Cramer Class II",0.107351446,9,1.01199530123356e-05,25,0.0838367840895222,9.42693684101437e-05,232.879955804228
"Tris(2,3-dibromopropyl) phosphate","126-72-7","BrCC(Br)COP(=O)(OCC(Br)CBr)OCC(Br)CBr","DTXSID5021413","YES","YES","NO","YES","High (Class III)","Anti-cholinesterase",0.00357501,0.3,0.319053977412878,NA,0.0839158491864358,89.2456181697053,NA
"Vernolate","1929-77-7","CCCSC(=O)N(CCC)CCC","DTXSID7024376","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.017812883,1.5,0.29127613498898,NA,0.0842087156806677,16.3519928239005,NA
"Eugenol","97-53-0","COC1=C(O)C=CC(CC=C)=C1","DTXSID9020617","YES","YES","NO","NO","Low (Class I)","Cramer Class I",0.353259032,30,0.111512942173827,67,0.0849235186717038,0.315669047561188,189.662525033472
"2-(Phenylmethylene)octanal","101-86-0","CCCCCCC(C=O)=CC1=CC=CC=C1","DTXSID4026684","NO","NO","NO","NO","Low (Class I)","Cramer Class I",0.349534502,30,0.0771072988092968,NA,0.0858284370451075,0.220599964719067,NA
"Butylate","2008-41-5","CCSC(=O)N(CC(C)C)CC(C)C","DTXSID7023936","YES","YES","NO","NO","High (Class III)","Cramer Class III",0.017341692,1.5,0.0334072198305759,5,0.0864967501441036,1.92641063112965,288.322500480345
"Theobromine","83-67-0","CN1C=NC2=C1C(=O)NC(=O)N2C","DTXSID9026132","NO","NO","NO","NO","High (Class III)","Cramer Class III",0.017259985,1.5,37.4442501107711,7,0.086906216894163,2169.42541437731,405.562345506094
