DTXSID,CASRN,Name,pod.nam.95,pod.nam.50,pod.ratio.95,pod.ratio.50,ber.95,ber.50,ber.95.pod.50,ber.50.pod.50,log.AED.5,log.AED.50,log.AED.95,log.AED.hipptox.50,log.AED.hipptox.95,log.max.AED,log.expo.50,log.expo.95,log.p5.POD,log.p95.POD,log.min.pod,log.max.pod,log.med.pod,AED_5,AED_50,AED_95,AED_hipptox_50,AED_hipptox_95,max_AED,min.POD,mean.POD,med.POD,max.POD,p5.POD,p95.POD,expocast.total.med,expocast.total.95,log.ttc.mkd,ttc.label,pod.ratio.95.binary,pod.ratio.50.binary,ttc.ratio.95,ttc.ratio.50,log.hed.5,hed.pod.ratio.95,hed.pod.ratio.50
DTXSID0020606,103-23-1,Bis(2-ethylhexyl)hexanedioate,0.293754705,0.801268786,1.864607787,1.357093706,2.366621215,4.107816115,2.874135296,4.615330196,1.240646944,0.801268786,0.293754705,,,2.035797859,-3.81406141,-2.07286651,2.158362492,3.574031268,1.447158031,3.875061263,2.7930916,17.40391463,6.328033734,1.966775115,,,108.5920067,28,1105.434286,621,7500,144,3750,0.00015344,0.008455387,-1.522878745,30,1,1,1.81663345,2.324147531,1.270212855,0.97645815,0.468944069
DTXSID3026697,103-24-2,Bis(2-ethylhexyl) nonanedioate,1.502584139,1.755987477,0.497415861,0.244012523,5.254159637,7.412679028,5.507562976,7.666082366,2.227578831,1.755987477,1.502584139,1.93328862,1.665496461,2.590554647,-5.910094889,-3.751575498,2,2.477121255,2,2.477121255,2.301029996,168.8802374,57.01478322,31.81149936,85.76075974,46.2909892,389.5423208,100,200,200,300,100,300,0.00000123,0.000177184,-1.522878745,30,1,1,3.025462884,3.278866223,1.209515015,-0.293069125,-0.546472463
DTXSID2020006,103-90-2,Acetaminophen,-1.391845821,-0.975735793,2.993905813,2.577795784,4.47782041,6.539968317,4.893930439,6.956078345,-0.566406198,-0.975735793,-1.391845821,,,1.338713726,-7.931814138,-5.869666232,1.602059991,3.477121255,1.477121255,3.574031268,3.096910013,0.271389976,0.105746063,0.040565252,,,21.81291597,30,1103.090909,1250,3750,40,3000,1.17E-08,0.00000135,-5.602059991,0.0025,1,1,4.21021417,4.626324198,0.811575006,2.203420827,1.787310799
DTXSID7032555,103361-09-7,Flumioxazin,-1.5042659,-0.758290187,1.846688581,1.100712868,3.580334265,5.381790748,4.326309977,6.12776646,-0.199823332,-0.758290187,-1.5042659,,,0.776149317,-6.886056648,-5.084600165,0.342422681,3,0.255272505,3,2.29380436,0.631214066,0.174465602,0.031313679,,,5.97240591,1.8,259.2072289,196.7,1000,2.2,1000,0.00000013,0.00000823,-5.602059991,0.0025,1,1,4.097794091,4.843769804,-0.448062305,1.056203596,0.310227883
DTXSID5034270,104098-48-8,Imazapic,0.013023401,0.404282369,2.123697166,1.732438198,5.363688543,7.053505024,5.75494751,7.444763992,0.721437584,0.404282369,0.013023401,,,1.130343313,-7.040481623,-5.350665141,2.136720567,3.038222638,2.136720567,3.038222638,2.84509804,5.265475354,2.536777454,1.030441643,,,13.5002967,137,776.1724138,700,1092,137,1092,9.11E-08,0.00000446,-2.823908741,1.5,1,1,2.836932142,3.22819111,1.869917832,1.856894431,1.465635463
DTXSID7032424,104206-82-8,Mesotrione,-0.82614941,-0.46201151,0.303270665,-0.060867236,4.362946309,6.169529216,4.72708421,6.533667117,-0.128559018,-0.46201151,-0.82614941,,,0.981199195,-6.995678626,-5.189095719,-0.522878745,3.045714059,-1.045757491,3.046885191,2.277563376,0.743773981,0.345134592,0.149228093,,,9.576332014,0.09,326.5607229,189.48,1114,0.3,1111,0.000000101,0.00000647,-5.602059991,0.0025,1,0,4.775910581,5.140048482,-1.313363731,-0.48721432,-0.851352221
DTXSID7022253,10453-86-8,Resmethrin,-2.835997952,-1.878501953,4.313119207,3.355623208,2.406606019,4.033668279,3.364102018,4.991164278,-1.444940494,-1.878501953,-2.835997952,,,-1.449587666,-6.869666232,-5.242603971,1.477121255,3.235528447,1.397940009,3.235528447,1.96449534,0.035897112,0.013228118,0.001458821,,,0.035515042,25,229.2647059,92.15,1720,30,1720,0.000000135,0.00000572,-2.823908741,1.5,1,1,-0.012089211,0.945406788,0.751094258,3.587092211,2.629596212
DTXSID2021866,105-99-7,Dibutyl adipate,-0.458546421,0.341997284,2.604674457,1.804130752,4.061446636,6.04869319,4.861990341,6.849236895,0.873135217,0.341997284,-0.458546421,,,0.60161623,-6.507239611,-4.519993057,2.146128036,3,2.146128036,3,3,7.466812003,2.197846127,0.347899319,,,3.995914894,140,713.3333333,1000,1000,140,1000,0.000000311,0.0000302,-1.522878745,30,1,1,1.064332324,1.864876029,1.35564305,1.814189472,1.013645766
DTXSID6032354,105512-06-9,Clodinafop-propargyl,0.341726844,0.726622873,-0.831181834,-1.216077863,5.536906165,7.237923123,5.921802194,7.622819152,1.174789809,0.726622873,0.341726844,,,2.858042675,-6.896196279,-5.195179321,-0.48945499,1.84509804,-1.508638306,2.204119983,1.181843588,14.95511679,5.328719662,2.196477929,,,721.1783404,0.031,23.65088095,15.2,160,0.324,70,0.000000127,0.00000638,-2.823908741,1.5,0,0,3.165635585,3.550531614,-1.279939975,-1.621666819,-2.006562848
DTXSID7021869,106-44-5,p-Cresol,0.860339211,1.340333412,-0.161369207,-0.641363408,4.578537981,6.330139513,5.058532182,6.810133714,1.816539723,1.340333412,0.860339211,,,2.153142397,-5.469800302,-3.71819877,0.698970004,2.653212514,0.698970004,3.15075644,2,65.54502345,21.89441836,7.250020106,,,142.2795218,5,169.1282051,100,1415,5,450,0.00000339,0.000191338,-1.522878745,30,0,0,2.383217956,2.863212158,0.209515015,-0.650824196,-1.130818398
DTXSID9020295,106-47-8,4-Chloroaniline,-1.013575731,-0.482999556,1.314605727,0.784029551,2.997865312,4.903638899,3.528441487,5.434215074,-0.047156634,-0.482999556,-1.013575731,,,1.313067117,-5.91721463,-4.011441043,0.301029996,2.875061263,0.146128036,2.875061263,1.477121255,0.897105184,0.328851967,0.096922424,,,20.56208341,1.4,129.7101604,30,750,2,750,0.00000121,0.0000974,-5.602059991,0.0025,1,1,4.58848426,5.119060436,-0.48945499,0.524120741,-0.006455434
DTXSID4024729,10605-21-7,Carbendazim,0.974820748,1.404932809,-0.166609775,-0.596721836,6.84771595,8.991645676,7.277828011,9.421757737,1.849932398,1.404932809,0.974820748,,,2.426184353,-8.016824928,-5.872895202,0.808210973,2.602059991,0.397940009,2.602059991,2.602059991,70.78355949,25.40579615,9.436713029,,,266.7990957,2.5,237.3047222,400,400,6.43,400,9.62E-09,0.00000134,-3.522878745,0.3,0,0,4.497699494,4.927811554,0.209515015,-0.765305734,-1.195417795
DTXSID9032113,107534-96-3,Tebuconazole,-1.54899641,-0.769733173,2.19146093,1.412197693,4.233519646,6.210454342,5.012782883,6.989717579,-0.25603707,-0.769733173,-1.54899641,,,0.493433795,-7.759450752,-5.782516056,0.64246452,2.683857205,0.471291711,2.683857205,1.888179494,0.554578374,0.169928736,0.028249033,,,3.114826025,2.96,247.09,77.3,482.9,4.39,482.9,1.74E-08,0.00000165,-2.823908741,1.5,1,1,1.274912331,2.054175568,0.204488976,1.753485386,0.974222149
DTXSID2021238,108-46-3,Resorcinol,-1.2115583,-0.751870328,2.716708279,2.257020307,1.185570011,3.162101332,1.645257983,3.621789304,-0.343762778,-0.751870328,-1.2115583,2.453807801,2.009018963,2.131460872,-4.373659633,-2.397128311,1.505149978,2.716003344,1.447158031,2.716003344,2.146128036,0.453145031,0.177063756,0.061438655,284.3202558,102.0984063,135.350814,28,206.1851852,140,520,32,520,0.0000423,0.004007483,-1.522878745,30,1,1,0.311320445,0.771008417,0.714664993,1.926223293,1.466535321
DTXSID5021124,108-95-2,Phenol,-0.090071409,0.434355991,1.090071409,0.565644009,2.126622792,3.988242116,2.651050192,4.512669515,0.854231582,0.434355991,-0.090071409,2.232530371,1.688133335,1.499012487,-4.078313525,-2.216694201,1,2.875061263,0.255272505,2.875061263,2.397940009,7.148774232,2.718666844,0.812696877,170.8167172,48.76781921,31.55095341,1.8,282.2196078,250,750,10,750,0.0000835,0.006071637,-1.522878745,30,1,1,1.432807336,1.957234736,0.209515015,0.299586423,-0.224840976
DTXSID8025595,110-26-9,"N,N'-Methylenebisacrylamide",0.408465388,0.809529784,1.068655867,0.667591471,4.317558671,6.1883573,4.718623067,6.589421696,1.140811267,0.809529784,0.408465388,,,1.040372293,-5.779891912,-3.909093283,1.477121255,1.477121255,1.477121255,1.477121255,1.477121255,13.82965248,6.449555494,2.561329127,,,10.97418541,30,30,30,30,30,30,0.00000166,0.000123284,-5.602059991,0.0025,1,1,6.01052538,6.411589775,0.385606274,-0.022859115,-0.42392351
DTXSID4042121,110235-47-7,Mepanipyrim,-1.742876892,-1.315209314,2.606199752,2.178532174,4.223699353,6.185241101,4.65136693,6.612908678,-0.985443412,-1.315209314,-1.742876892,,,-0.437180878,-7.928117993,-5.966576245,0.86332286,0.86332286,0.86332286,0.86332286,0.86332286,0.103408583,0.048393907,0.018076865,,,0.365442558,7.3,7.3,7.3,7.3,7.3,7.3,1.18E-08,0.00000108,-2.823908741,1.5,1,1,1.081031849,1.508699427,0.072837875,1.815714766,1.388047189
DTXSID7034545,110488-70-5,Dimethomorph,-0.17222729,0.356881802,1.247774251,0.71866516,5.524576653,7.489316217,6.053685744,8.018425308,0.830514238,0.356881802,-0.17222729,,,1.675907068,-7.661543506,-5.696803943,1.075546961,2.198106999,1.041392685,2.989894564,1.86332286,6.768839837,2.274478321,0.672624544,,,47.41405163,11,93.35932203,73,977,11.9,157.8,2.18E-08,0.00000201,-2.823908741,1.5,1,1,2.651681451,3.180790543,0.285061976,0.457289266,-0.071819826
DTXSID5026889,111-82-0,Methyl dodecanoate,1.074242395,1.55290423,1.925757605,1.44709577,5.091519008,7.057209056,5.570180842,7.53587089,2.004510217,1.55290423,1.074242395,,,2.17587355,-5.982966661,-4.017276612,3,3,3,3,3,101.0439272,35.71940612,11.86430753,,,149.9248246,1000,1000,1000,1000,1000,1000,0.00000104,0.0000961,-1.522878745,30,1,1,2.597121141,3.075782975,2.209515015,1.135272619,0.656610785
DTXSID2032550,111812-58-9,"Fenpyroximate (Z,E)",-5.802352052,-4.819592797,6.103382048,5.120622793,-0.662690059,1.129462086,0.320069197,2.112221341,-4.350900285,-4.819592797,-5.802352052,,,-1.302040731,-6.931814138,-5.139661993,0.301029996,1.86332286,0,1.86332286,1.546789352,4.45759E-05,1.51498E-05,1.57633E-06,,,0.04988377,1,33.49337838,35.22,73,2,73,0.000000117,0.00000725,-2.823908741,1.5,1,1,-2.978443311,-1.995684056,-0.491631909,5.310720143,4.327960888
DTXSID7034961,111988-49-9,Thiacloprid,0.0368433,0.552045769,0.361096709,-0.154105761,6.046060608,7.887624187,6.561263077,8.402826657,0.994020068,0.552045769,0.0368433,1.790756975,1.237831717,1.347190705,-7.850780887,-6.009217308,0.397940009,3.450233708,0.079181246,3.525174428,1.713490543,9.863250606,3.56488701,1.088537262,61.76706642,17.29146211,22.24286394,1.2,331.9157282,51.7,3351,2.5,2819.9,1.41E-08,0.000000979,-2.823908741,1.5,1,0,2.860752041,3.37595451,-0.392544977,-0.429388277,-0.944590746
DTXSID3024368,112-50-5,2-[2-(2-Ethoxyethoxy)ethoxy]ethanol,0.584027299,0.9330151,2.291033964,1.942046163,4.785376654,6.93958871,5.134364455,7.288576511,1.236358302,0.9330151,0.584027299,,,1.094896716,-6.355561411,-4.201349355,2.875061263,2.875061263,2.875061263,2.875061263,2.875061263,17.23289739,8.570676446,3.837313654,,,12.44218677,750,750,750,750,750,750,0.000000441,0.0000629,-1.522878745,30,1,1,2.106906044,2.455893846,2.084576278,1.500548979,1.151561178
DTXSID8034956,112281-77-3,Tetraconazole,-3.26425903,-2.285586785,3.734081046,2.755408801,1.810428879,3.663858963,2.789101123,4.642531207,-1.920997105,-2.285586785,-3.26425903,,,-1.034472872,-6.928117993,-5.074687909,0.469822016,3.10720997,-0.13667714,3.10720997,1.457881897,0.011995073,0.005180995,0.000544178,,,0.092369188,0.73,103.5982667,28.7,1280,2.95,1280,0.000000118,0.00000842,-2.823908741,1.5,1,1,-0.440350289,0.538321956,-0.259006068,3.005252961,2.026580717
DTXSID4034948,112410-23-8,Tebufenozide,-1.122265505,-0.150617026,1.326385488,0.354737009,4.019197298,5.77736395,4.990845776,6.749012429,0.382983395,-0.150617026,-1.122265505,,,0.635572763,-6.899629455,-5.141462802,0.204119983,3.522704993,-0.096910013,3.522704993,1.681241237,2.415368484,0.706940681,0.075463074,,,4.320885545,0.8,406.343617,48,3332,1.6,3332,0.000000126,0.00000722,-5.602059991,0.0025,1,1,4.479794486,5.451442965,-0.199420378,0.922845126,-0.048803352
DTXSID6032562,113-48-4,Octylbicycloheptenedicarboximide,-2.93905989,-1.904534977,4.633840526,3.599315613,1.476608886,3.652700145,2.511133798,4.687225057,-1.459329763,-1.904534977,-2.93905989,,,-1.591433794,-6.591760035,-4.415668776,1.694780636,3.265289626,0.875061263,3.265289626,2.653212514,0.034727237,0.012458479,0.001150642,,,0.025619238,7.5,494.4924138,450,1842,49.52,1842,0.000000256,0.0000384,-2.823908741,1.5,1,1,-0.115151149,0.919373764,0.608258528,3.547318418,2.512793506
DTXSID5032600,113136-77-9,Cyclanilide,-0.077145343,0.283922836,0.419568024,0.058499845,5.166979801,6.969094965,5.52804798,7.330163144,0.58853498,0.283922836,-0.077145343,,,1.250770681,-7.046240308,-5.244125144,0.342422681,3.032215703,0.301029996,3.032215703,1.80685803,3.877349775,1.922750069,0.837249038,,,17.81437873,2,215.6775,64.1,1077,2.2,1077,8.99E-08,0.0000057,-2.823908741,1.5,1,1,2.746763398,3.107831577,-0.448062305,-0.370916962,-0.73198514
DTXSID6032356,1134-23-2,Cycloate,-2.277226671,-1.069072919,1.976196676,0.768042923,3.047912188,4.870293335,4.25606594,6.078447087,-0.42411339,-1.069072919,-2.277226671,,,0.130668679,-7.147520006,-5.325138859,-0.301029996,3.079181246,-0.301029996,3.079181246,1.698970004,0.376605458,0.085295689,0.005281695,,,1.351041467,0.5,281.1393939,50,1200,0.5,1200,7.12E-08,0.00000473,-5.602059991,0.0025,1,1,3.32483332,4.532987072,-0.567832731,1.709393941,0.501240188
DTXSID4022991,114-07-8,Erythromycin,0.228700993,0.646304443,0.947390266,0.529786816,4.485191229,6.552007384,4.902794678,6.969610833,0.971000752,0.646304443,0.228700993,,,1.393554147,-6.32330639,-4.256490235,1.176091259,1.176091259,1.176091259,1.176091259,1.176091259,9.354072932,4.428987379,1.69317167,,,24.74880003,15,15,15,15,15,15,0.000000475,0.0000554,-2.823908741,1.5,1,1,3.052609734,3.470213184,0.385606274,0.15690528,-0.260698169
DTXSID7021948,114-26-1,Propoxur,-0.58891335,-0.021890189,0.831951398,0.264928237,4.756910108,6.556780608,5.323933269,7.123803769,0.462845744,-0.021890189,-0.58891335,,,1.439096698,-7.145693958,-5.345823458,0.243038049,3.318188594,0.243038049,3.318188594,2.397940009,2.902991362,0.950845184,0.257683523,,,27.48506057,1.75,589.0557576,250,2080.6,1.75,2080.6,7.15E-08,0.00000451,-3.522878745,0.3,1,1,2.933965396,3.500988557,-0.023764686,0.565148664,-0.001874497
DTXSID8032548,114369-43-6,Fenbuconazole,-1.669878929,-0.976238924,2.151321557,1.457681553,3.376844735,5.27321622,4.070484739,5.966856224,-0.452656117,-0.976238924,-1.669878929,1.121867856,0.293182965,0.854438812,-6.943095149,-5.046723663,0.481442629,2.093071306,-0.420216403,2.176091259,1.547897718,0.352649996,0.105623627,0.021385582,13.23938636,1.964187599,7.152186199,0.38,48.71527778,35.31,150,3.03,123.9,0.000000114,0.00000898,-2.823908741,1.5,1,1,1.154029812,1.847669817,-0.511731385,1.158147544,0.46450754
DTXSID1020560,115-29-7,Endosulfan,-2.647607586,-1.684828656,2.221638854,1.258859924,2.445518879,4.255482401,3.408297809,5.218261331,-1.264512099,-1.684828656,-2.647607586,,,-1.297531296,-6.903089987,-5.093126465,-0.425968732,1.677606953,-0.744727495,1.677606953,0.52179165,0.054386098,0.020661952,0.002251088,,,0.05040443,0.18,7.719277778,3.325,47.6,0.375,47.6,0.000000125,0.00000807,-2.823908741,1.5,1,1,0.176301155,1.139080085,-1.091514981,1.556092605,0.593313675
DTXSID1021952,115-86-6,Triphenyl phosphate,-1.154166802,-0.015715199,2.251076815,1.112625212,1.028080005,2.817900844,2.166531608,3.956352447,0.528621231,-0.015715199,-1.154166802,,,0.539166953,-3.972067646,-2.182246807,1.096910013,2.301029996,1.096910013,2.301029996,1.698970004,3.377701222,0.964461289,0.070118594,,,3.460723908,12.5,69,50,200,12.5,200,0.000106643,0.006572842,-3.522878745,0.3,1,1,2.368711943,3.507163546,0.306425028,1.46059183,0.322140227
DTXSID5021411,115-96-8,Tris(2-chloroethyl) phosphate,0.660268192,1.022315738,0.983184485,0.621136938,4.011139818,5.880671701,4.373187365,6.242719247,1.363692599,1.022315738,0.660268192,,,0.978461794,-5.220403509,-3.350871626,1.643452676,2.84509804,#NUM!,4.152288344,2.544068044,23.10428853,10.52726943,4.573705445,,,9.516161289,0,399.2126437,350,14200,44,700,0.00000602,0.000445788,-5.602059991,0.0025,1,1,6.262328183,6.62437573,0.852967691,0.192699499,-0.169348047
DTXSID0039223,116-06-3,Aldicarb,-2.102178171,-1.741151475,0.102178171,-0.258848525,3.893500455,5.800911816,4.254527151,6.161938512,-1.401110816,-1.741151475,-2.102178171,,,0.887662111,-7.903089987,-5.995678626,-2,0.158362492,-2,0.158362492,-0.301029996,0.039709021,0.018148826,0.007903543,,,7.720796598,0.01,0.731421053,0.5,1.44,0.01,1.44,1.25E-08,0.00000101,-2.823908741,1.5,1,0,0.72173057,1.082757266,-2.118387128,-0.016208957,-0.377235653
DTXSID5034773,116714-46-6,Novaluron,-1.196018983,-0.10558447,1.752321484,0.661886971,3.9074548,5.586497073,4.997889313,6.676931586,0.566322174,-0.10558447,-1.196018983,,,0.091666729,-6.782516056,-5.103473783,0.556302501,3.221909547,0.041392685,3.260214538,2.913018684,3.68402165,0.784179582,0.063676769,,,1.234999351,1.1,638.4906849,818.5,1820.6,3.6,1666.9,0.000000165,0.00000788,-2.823908741,1.5,1,1,1.627889758,2.718324271,-0.53521248,0.660806502,-0.42962801
DTXSID4021218,117-39-5,Quercetin,-0.408957375,0.390179515,3.011017366,2.211880476,4.42078091,6.25059851,5.219917799,7.0497354,0.836093475,0.390179515,-0.408957375,,,1.232833554,-6.659555885,-4.829738285,2.602059991,3.301029996,2.602059991,3.301029996,3.204119983,6.856357832,2.455723775,0.389980261,,,17.09360065,400,1520,1600,2000,400,2000,0.000000219,0.0000148,-2.823908741,1.5,1,1,2.414951366,3.214088256,1.811575006,2.220532381,1.421395491
DTXSID1021956,117-84-0,Di-n-octyl phthalate,-2.648639053,-1.687012245,4.214486871,3.252860064,-0.522934588,1.227417885,0.438692219,2.189044693,-1.270508395,-1.687012245,-2.648639053,-0.216159702,-1.262501021,-1.312818842,-3.876056938,-2.125704464,1.565847819,3.990338855,1.565847819,3.990338855,3.875061263,0.05364035,0.020558326,0.002245748,0.607911415,0.054638527,0.048661014,36.8,4252.942857,7500,9780,36.8,9780,0.000133028,0.007486788,-1.522878745,30,1,1,-1.125760307,-0.1641335,0.775362833,3.424001886,2.462375078
DTXSID2032556,117337-19-6,Fluthiacet-methyl,-0.672920704,0.234086308,0.672920704,-0.234086308,4.37768929,6.145235708,5.284696301,7.05224272,0.722129243,0.234086308,-0.672920704,,,1.777652603,-6.818156412,-5.050609993,0,3.288472801,-1,3.812913357,1.568201724,5.273867842,1.714297958,0.212363217,,,59.93114881,0.1,394.9552727,37,6500,1,1943,0.000000152,0.0000089,-2.823908741,1.5,1,0,2.150988037,3.057995049,-1.091514981,-0.418594277,-1.325601289
DTXSID1032488,117718-60-2,Thiazopyr,-1.849213305,-0.654447688,2.326334559,1.131568943,3.451816691,5.00465866,4.646582308,6.199424276,-0.048481245,-0.654447688,-1.849213305,,,0.627026024,-6.853871964,-5.301029996,0.477121255,2.397940009,-0.096910013,2.397940009,1.892094603,0.894373154,0.221591099,0.014150986,,,4.236683521,0.8,101.6517241,78,250,3,250,0.00000014,0.000005,-2.823908741,1.5,1,1,0.974695436,2.169461053,-0.147032309,1.702180996,0.507415379
DTXSID1034212,118134-30-8,Spiroxamine,-3.023324431,-1.849033774,3.417776112,2.243485455,2.173901843,3.97841623,3.3481925,5.152706887,-1.160747174,-1.849033774,-3.023324431,,,-0.377929291,-7.001740662,-5.197226275,0.394451681,2.394626764,-0.180456064,2.394626764,1.739572344,0.069064175,0.014156837,0.00094771,,,0.418861755,0.66,74.9224359,54.9,248.1,2.48,248.1,9.96E-08,0.00000635,-2.823908741,1.5,1,1,-0.19941569,0.974874967,-0.165172534,2.858151897,1.68386124
DTXSID4020870,119-47-1,"2,2'-Methylenebis(4-methyl-6-tert-butylphenol)",-0.23690889,0.874195096,0.977271579,-0.133832407,2.059344349,3.861632789,3.170448335,4.972736775,1.447531799,0.874195096,-0.23690889,,,0.881009555,-4.098541679,-2.296253239,0.740362689,2.301029996,0.633468456,2.574031268,1.698970004,28.02410808,7.485056731,0.579550267,,,7.603430054,4.3,68.26425,50,375,5.5,200,0.0000797,0.005055298,-2.823908741,1.5,1,0,2.586999851,3.698103837,0.306425028,0.543333917,-0.567770069
DTXSID0021961,119-61-9,Benzophenone,-1.882846961,-1.171356934,2.692069882,1.980579855,0.668239204,2.592108232,1.379729231,3.303598259,-0.706576337,-1.171356934,-1.882846961,1.466057195,0.73508867,0.70883281,-4.474955193,-2.551086165,0.809222922,3.516535374,0.491361694,3.623145875,1.886490725,0.196527651,0.067397388,0.013096433,29.24537501,5.433612587,5.114848912,3.1,499.928713,77,4199,6.445,3285,0.0000335,0.002811343,-2.823908741,1.5,1,1,0.94106178,1.652551807,0.152811629,2.03565859,1.324168563
